번호,사업장명,소재지전체주소,도로명전체주소,개업일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,입소정원,자격소유인원수,총인원수,위치정보(X),위치정보(Y),상세영업상태명
1,덕수노인교실,서울특별시 성북구 성북동 ,,19990720,운영중,,,,,,,0,,,198888.2099,454622.458,운영
2,늘푸른노인교실,서울특별시 성북구 동소문동1가 ,,20000129,운영중,,,,,,,0,,,,,운영
3,(사)대한노인회성북구지회부설 노인교실,서울특별시 성북구 안암동5가 104-37번지 ,,19990511,운영중,,,,,,,80,,,202562.1107,453442.7543,운영
4,개동경로대학,서울특별시 성북구 정릉동 771-3번지 ,,20060830,운영중,,,,,,,80,0,1,200379.8469,457052.3201,운영
5,개동경로대학,서울특별시 성북구 정릉동 771-3번지 ,,20060830,운영중,,,,,,,80,0,1,200379.8469,457052.3201,운영
6,정릉4동 시니어아카데미,서울특별시 성북구 정릉동 401-20번지 ,,20020107,운영중,,,,,,,102,0,1,200852.9804,456382.5777,운영
7,돈암시니어노인교실,서울특별시 성북구 동선동2가 1-2번지 ,,20031020,운영중,,,,,,,60,0,0,201475.2745,454218.1113,운영
8,종암노인교실,서울특별시 성북구 종암동 79-204번지 ,,20031021,운영중,,,,,,,110,5,24,202774.9715,455320.5711,운영
9,백영관대학,서울특별시 강서구 방화동 두란노교회 ,,20170310,운영중,,,,,,,100,,7,,,운영
10,로뎀어르신행복학교,서울특별시 강서구 방화동 로뎀교회 나동 ,,20170329,운영중,,,,,,,90,,11,,,운영
11,양천실버교실,서울특별시 양천구 신월동 ,,20170525,운영중,,,,,,,80,8,,,,운영
12,동천 노인교실,서울특별시 영등포구 신길동 ,,19961025,운영중,,,,,,,,,,,,운영
13,제일소망대학,서울특별시 송파구 마천동 ,,20150825,운영중,,,,,,,0,,,,,운영
14,다사랑노인교실,서울특별시 영등포구 대림동 ,,20160118,운영중,,,,,,,0,,,,,운영
15,영암교회 노인교실,서울특별시 영등포구 신길동 ,,20100119,운영중,,,,,,,,,,,,운영
16,영중 경로대학,서울특별시 영등포구 영등포동8가 ,,20060629,운영중,,,,,,,,,,,,운영
17,영등포50플러스센터,서울특별시 영등포구 여의도동 56-1번지 ,,20160122,운영중,,,,,,,0,13,,,,운영
18,노인체력단련교실,서울특별시 영등포구 신길동 ,,20010601,운영중,,,,,,,0,,,,,운영
19,양평2동 노인교실,서울특별시 영등포구 양평동4가 ,,19960105,운영중,,,,,,,,,,,,운영
20,노원50플러스센터,서울특별시 노원구 상계동 ,,20161103,운영중,,,,,,,110,,,,,운영
21,천주교 광장동성당 효경대학,서울특별시 광진구 광장동 ,,20140807,운영중,,,,,,,50,,2,,,운영
22,구의교실,서울특별시 광진구 구의동 ,,20061116,운영중,,,,,,,100,,2,,,운영
23,광장노인교실,서울특별시 광진구 광장동 ,,19980406,운영중,,,,,,,100,,,,,운영
24,권드인베드로대학,서울특별시 광진구 자양동 ,,20060306,운영중,,,,,,,50,,2,,,운영
25,평화노인교실,서울특별시 구로구 고척동 164-13번지 ,,20100304,운영중,,,,,,,50,,,186947.9159,444555.3633,운영
26,백삼노인교실,서울특별시 구로구 개봉동 258-3번지 ,,20080612,운영중,,,,,,,90,0,6,,,운영
27,구로3동 성당 노인대학,서울특별시 구로구 구로동 165-1번지 ,,20011130,운영중,,,,,,,150,1,4,190653.926,442901.9928,운영
28,오류동장로교회노인교실,서울특별시 구로구 오류동 18-2번지 ,,20040324,운영중,,,,,,,127,0,16,185895.7506,443944.6512,운영
29,늘푸른노인교실,서울특별시 구로구 구로동 503-10번지 ,,20041022,운영중,,,,,,,0,0,23,189706.9813,444084.1915,운영
30,오류남부교회 소망경로대학,서울특별시 구로구 오류동 187-2번지 ,,20050202,운영중,,,,,,,110,0,5,,,운영
31,광진실버대학,서울특별시 구로구 개봉동 294-7번지 ,,20050903,운영중,,,,,,,70,0,70,186767.0006,442726.2089,운영
32,구로3동성당노인대학,서울특별시 구로구 구로동 165-1번지 ,,20011130,운영중,,,,,,,150,1,4,190653.926,442901.9928,운영
33,천주교고척동교회부설고척노인교실,서울특별시 구로구 고척동 156-2번지 ,,20020208,운영중,,,,,,,0,0,53,187402.3089,444750.6925,운영
34,대한노인회구로지회부설노인교실,서울특별시 구로구 구로동 105번지 ,,19950913,운영중,,,,,,,62,0,0,190142.3163,444136.7177,운영
35,가리봉노인교실,서울특별시 구로구 가리봉동 132-86번지 ,,19950720,운영중,,,,,,,50,0,6,190205.5238,442225.2453,운영
36,시립 구로노인종합복지관 노인교실,서울특별시 구로구 구로동 102번지 ,,19970417,운영중,,,,,,,0,0,0,190163.7246,443865.9237,운영
37,대한노인회구로구지회부설노인교실,서울특별시 구로구 구로동 102번지 ,,19970115,운영중,,,,,,,0,0,0,190163.7246,443865.9237,운영
38,고척노인교실,서울특별시 구로구 고척동 172-6번지 ,,19981228,운영중,,,,,,,120,0,0,187620.6339,444710.6223,운영
39,개봉노인교실,서울특별시 구로구 개봉동 141-52번지 ,,19950720,운영중,,,,,,,56,0,0,186943.2676,444078.2575,운영
40,신성노인교실,서울특별시 구로구 구로동 43번지 ,,20001028,운영중,,,,,,,80,0,0,190310.52,444572.38,운영
41,사랑의집 노인교실,서울특별시 마포구 창전동 ,,20131210,운영중,,,,,,,65,,,,,운영
42,서울노인교실,서울특별시 마포구 염리동 23-78번지 ,,20120503,운영중,,,,,,,70,,,195345.1114,450123.6891,운영
43,서현노인교실,서울특별시 마포구 서교동 379-7번지 ,,20090224,운영중,,,,,,,200,2,24,192505.8854,450085.3807,운영
44,잔다리은빛 노인교실,서울특별시 마포구 서교동 370-13번지 ,,20080318,운영중,,,,,,,100,1,20,192848.3746,450029.189,운영
45,서교동성당 노인성지대학,서울특별시 마포구 서교동 340-23번지 ,,20080321,운영중,,,,,,,80,1,5,193413.606,450185.6229,운영
46,성가정 노인교실,서울특별시 마포구 염리동 128-82번지 ,,20060714,운영중,,,,,,,60,5,9,195485.2487,449488.1683,운영
47,마포 노인교실,서울특별시 마포구 염리동 168-10번지 ,,20060727,운영중,,,,,,,100,5,14,195389.0098,449050.5732,운영
48,서서울 노인교실,서울특별시 마포구 망원동 384-1번지 ,,20060922,운영중,,,,,,,120,2,10,191777.2242,450181.6879,운영
49,동막 노인교실,서울특별시 마포구 대흥동 660번지 ,,20061012,운영중,,,,,,,55,2,3,194855.1323,449165.0683,운영
50,베드로노인교실,서울특별시 마포구 공덕동 105-233번지 ,,20070213,운영중,,,,,,,60,5,5,196079.8475,449600.2418,운영
51,염리노인대학,서울특별시 마포구 염리동 518번지 ,,20070927,운영중,,,,,,,150,3,7,195275.4094,449742.7198,운영
52,성산동성당백삼위성인대학,서울특별시 마포구 성산동 572-200번지 ,,20050926,운영중,,,,,,,70,0,2,,,운영
53,나사렛 노인교실,서울특별시 마포구 상암동 64-3번지 ,,20060404,운영중,,,,,,,70,1,23,,,운영
54,성결 노인교실,서울특별시 마포구 신수동 200-1번지 ,,20060427,운영중,,,,,,,50,5,8,194394.1824,449336.0219,운영
55,성산종합사회복지관 부설 노인교실,서울특별시 마포구 성산동 595번지 ,,20041216,운영중,,,,,,,50,5,7,191197.3579,451340.1392,운영
56,대한노인회 마포지회부설 노인교실,서울특별시 마포구 용강동 115번지 ,,20030923,운영중,,,,,,,0,0,0,,,운영
57,아브라함 노인교실,서울특별시 마포구 성산동 200-7번지 ,,20050304,운영중,,,,,,,80,0,2,192008.9291,451669.3835,운영
58,행복노인교실,서울특별시 금천구 시흥동 804-37번지 ,,20110907,운영중,,,,,,,100,,,191602.5593,439691.1611,운영
59,시흥노인교실,서울특별시 금천구 시흥동 1015번지 101 101동 1407호,,19990805,운영중,,,,,,,80,0,0,190879.9166,439511.6542,운영
60,제일노인교실,서울특별시 금천구 시흥동 264-21번지 ,,19990417,운영중,,,,,,,200,0,0,192288.9313,438689.3177,운영
61,성가정시니어아카데미,서울특별시 금천구 독산동 335-5번지 ,,20070823,운영중,,,,,,,100,0,5,190196.8985,441033.0973,운영
62,신일노인교실,서울특별시 금천구 독산동 1060-18번지 ,,20050321,운영중,,,,,,,100,0,2,191019.9059,439961.3777,운영
63,세광노인교실,서울특별시 금천구 시흥동 813-20번지 ,,20050507,운영중,,,,,,,100,0,2,191574.7203,439580.7694,운영
64,반석노인교실,서울특별시 금천구 독산동 191-1번지 ,,20040707,운영중,,,,,,,0,0,1,191396.2882,440797.3092,운영
65,대림2동 노인교실,서울특별시 영등포구 대림동 ,,19800301,운영중,,,,,,,0,,,,,운영
66,삼광교회 노인교실,서울특별시 영등포구 양평동6가 ,,20090923,운영중,,,,,,,0,,,,,운영
67,당산시니어아카데미,서울특별시 영등포구 당산동3가 ,,20020304,운영중,,,,,,,0,,,,,운영
68,발산동성당 볏고을 시니어아카데미,서울특별시 강서구 화곡동 ,,20160329,운영중,,,,,,,100,,7,,,운영
69,호산나 실버대학,서울특별시 노원구 하계동 ,,20170228,운영중,,,,,,,,,,,,운영
70,염산노인교실,서울특별시 마포구 염리동 염산교회 ,,20180130,운영중,,,,,,,,,,,,운영
71,강남노아대학 노인교실,서울특별시 강남구 세곡동 강남제일교회 ,,20171107,운영중,,,,,,,50,,,,,운영
72,신원예닮노인교실,서울특별시 관악구 신림동 ,,20180312,운영중,,,,,,,80,,,,,운영
73,망우동성당 늘푸른대학 노인교실,서울특별시 중랑구 망우동 ,,20180320,운영중,,,,,,,,,,,,운영
74,양원성당 요셉대학 노인교실,서울특별시 중랑구 망우동 ,,20180320,운영중,,,,,,,,,,,,운영
75,장수대학,서울특별시 서초구 잠원동 65-7번지 ,,20101026,운영중,,,,,,,0,,,200572.4667,445693.7307,운영
76,사랑마을 목교학교,서울특별시 서초구 서초동 1494-3번지 ,,20101224,운영중,,,,,,,0,,,200159.4146,442535.8379,운영
77,반포4동실버대학,서울특별시 서초구 반포동 ,,20120314,운영중,,,,,,,0,,,,,운영
78,산성실버대학,서울특별시 서초구 반포동 20-15번지 ,,20100115,운영중,,,,,,,0,,,200902.1634,444783.5648,운영
79,수표표교회서초노인대학,서울특별시 서초구 서초동 ,,19990826,운영중,,,,,,,0,,,,,운영
80,반포푸른대학,서울특별시 서초구 반포동 1189번지 ,,19920316,운영중,,,,,,,0,,,198959.5921,444419.3559,운영
81,비오시니어아카데미,서울특별시 서초구 서초동 1535-8번지 ,,20100520,운영중,,,,,,,0,,,200835.9513,442558.2263,운영
82,석문시니어아카데미,서울특별시 서초구 서초동 1634-1번지 ,,20010628,운영중,,,,,,,0,,,201857.0553,443389.6441,운영
83,서초노인대학,서울특별시 서초구 서초동 1666-17번지 ,,19900611,운영중,,,,,,,0,,,201415.5988,443352.512,운영
84,시온경로대학,서울특별시 서초구 방배동 ,,20030522,운영중,,,,,,,0,,,,,운영
85,효성교회노인교실,서울특별시 서초구 방배동 889-5번지 ,,19981019,운영중,,,,,,,0,,,199771.6693,442686.3116,운영
86,반포시니어아카데미,서울특별시 서초구 반포동 4-1번지 ,,20090622,운영중,,,,,,,0,0,8,199443.3801,444742.2128,운영
87,포이 시니어아카데미,서울특별시 서초구 양재동 396-2번지 ,,20090827,운영중,,,,,,,0,0,7,204192.005,441103.7648,운영
88,은빛시니어아카데미,서울특별시 서초구 방배동 807-7번지 ,,20091102,운영중,,,,,,,0,0,0,199352.5121,443480.9966,운영
89,까리따스노인교실,서울특별시 서초구 방배동 3274번지 ,,19990826,운영중,,,,,,,0,0,0,198533.6653,441398.0279,운영
90,천주교방배동교회 요셉노인대학,서울특별시 서초구 방배동 256-1번지 ,,20070330,운영중,,,,,,,150,0,2,199768.3896,441624.6101,운영
91,신답교회은빛노인교실,서울특별시 동대문구 답십리동 58-26번지 ,,20090928,운영중,,,,,,,0,1,5,205124.434,452164.9969,운영
92,태평경로대학,서울특별시 동대문구 장안동 446-8번지 ,,20091119,운영중,,,,,,,62,3,15,205956.9865,451322.2515,운영
93,이문동교회샬롬노인교실,서울특별시 동대문구 이문동 260-4번지 ,,20090604,운영중,,,,,,,114,2,22,205469.5647,455259.7739,운영
94,동안노인교실,서울특별시 동대문구 이문동 346-99번지 ,,20080520,운영중,,,,,,,200,1,25,204938.2433,454509.3353,운영
95,솔로몬노인대학,서울특별시 동대문구 제기동 182-16번지 ,,20080526,운영중,,,,,,,70,0,2,202890.8012,453419.3532,운영
96,장안동노인교실,서울특별시 동대문구 장안동 123-11번지 ,,20061227,운영중,,,,,,,90,0,1,206058.9962,452551.4609,운영
97,성모노인교실,서울특별시 동대문구 전농동 294-3번지 ,,20061227,운영중,,,,,,,100,0,6,,,운영
98,수산노인교실,서울특별시 동대문구 전농동 143-1번지 ,,19910107,운영중,,,,,,,100,0,1,204753.5991,453380.4903,운영
99,희망샘노인교실,서울특별시 동대문구 답십리동 257번지 ,,20060322,운영중,,,,,,,100,2,2,,,운영
100,전농노인교실,서울특별시 동대문구 전농동 440-9번지 ,,20041220,운영중,,,,,,,100,0,3,,,운영
101,전농노인교회,서울특별시 동대문구 전농동 440-9번지 ,,20041220,운영중,,,,,,,100,0,3,,,운영
102,동대문노인교실,서울특별시 동대문구 전농동 59-32번지 ,,19971229,운영중,,,,,,,40,0,1,205120.328,453054.869,운영
103,장수노인교실,서울특별시 동대문구 답십리동 487-50번지 ,,19990521,운영중,,,,,,,35,0,1,204919.6249,451698.0509,운영
104,동천교회,서울특별시 동대문구 장안동 335-9번지 ,,19990903,운영중,,,,,,,100,0,1,206406.925,452161.1551,운영
105,반석노인교실,서울특별시 동대문구 답십리동 58-53번지 ,,19951106,운영중,,,,,,,30,0,1,205213.3468,452209.2199,운영
106,근화노인교실,서울특별시 중구 신당동 406-4번지 ,,20081231,운영중,,,,,,,91,0,0,200728.7103,450767.8095,운영
107,(사)대한노인회중구지회부설노인교실,서울특별시 중구 신당동 393-9번지 ,,19981117,운영중,,,,,,,100,0,0,200830.9663,451148.3266,운영
108,한일교회노인교실,서울특별시 중구 신당동 67-87번지 ,,19980925,운영중,,,,,,,107,0,0,201718.9469,451158.0876,운영
109,향우노인교실,서울특별시 중구 을지로4가 72-1번지 401호,,20040302,운영중,,,,,,,56,3,2,199713.3407,451634.6265,운영
110,한국마사회 영등포문화공감센터 노인교실,서울특별시 영등포구 영등포동3가 ,,20000501,운영중,,,,,,,0,,,,,운영
111,성민사랑노인교실,서울특별시 영등포구 대림동 ,,20120409,운영중,,,,,,,50,,,,,운영
112,영등포성당시니어아카데미,서울특별시 영등포구 영등포동2가 ,,20120621,운영중,,,,,,,0,,,,,운영
113,새생활장수노인교실,서울특별시 영등포구 신길동 ,,19760501,운영중,,,,,,,0,,,,,운영
114,대길장수대학,서울특별시 영등포구 신길동 ,,20061128,운영중,,,,,,,0,,,,,운영
115,문래시니어노인교실,서울특별시 영등포구 문래동3가 ,,20100119,운영중,,,,,,,0,,,,,운영
116,성요셉시니어아카데미,서울특별시 영등포구 신길동 ,,20140212,운영중,,,,,,,80,,,,,운영
117,(사)대한노인회 영등포구지회부설 노인교실,서울특별시 영등포구 영등포동3가 ,,19970210,운영중,,,,,,,0,,,,,운영
118,구립모랫말노인교실,서울특별시 영등포구 도림동 ,,20030226,운영중,,,,,,,0,,,,,운영
119,성락시니어아카데미,서울특별시 영등포구 신길동 ,,20050301,운영중,,,,,,,0,,,,,운영
